UniqueCASEID,WGTCDTR_D,VEHNO,VEHNO,FUELCAP1,FUELCAP2,FUELGT2,FUELLOC1,FUELLOC2,FUELTNK1,FUELTNK2,FUELTYP1,FUELTYP2,ORIGAVTW,PSU,RATWGT,STRATIF,WHEELBAS
105F13,Passenger Vehicle,2,2,2,0,0,4,0,2,0,1,0,153,13,553.753,F,274
105F4,Passenger Vehicle,1,1,3,0,0,4,0,1,0,1,0,156,4,299.357,F,276
105F8,6000 lbs & Under,1,1,4,0,0,5,0,1,0,1,0,158,8,588.499,F,333
105F8,6000 lbs & Under,2,2,3,0,0,1,0,1,0,1,0,155,8,588.499,F,265
105G75,6001-10000 Lbs,1,1,4,0,0,5,0,2,0,1,0,172,75,1321.593,G,352
105G75,Passenger Vehicle,2,2,3,0,0,4,0,2,0,1,0,149,75,1321.593,G,262
105G75,Passenger Vehicle,3,3,2,0,0,4,0,1,0,1,0,143,75,1321.593,G,260
105H2,Passenger Vehicle,2,2,2,0,0,4,0,1,0,1,0,143,2,536.571,H,260
105J11,Passenger Vehicle,1,1,3,0,0,6,0,2,0,1,0,145,11,39.916,J,264
105J11,Passenger Vehicle,2,2,2,0,0,5,0,2,0,1,0,143,11,39.916,J,250
105J47,Passenger Vehicle,1,1,2,0,0,5,0,2,0,1,0,155,47,128.343,J,280
105K12,Passenger Vehicle,1,1,3,0,0,1,0,2,0,1,0,151,12,27.456,K,272
105K42,Passenger Vehicle,1,1,3,0,0,6,0,2,0,1,0,151,42,22.959,K,251
105K48,Passenger Vehicle,1,1,2,0,0,1,0,1,0,1,0,160,48,312.729,K,297
105K48,Passenger Vehicle,2,2,3,0,0,4,0,1,0,1,0,146,48,312.729,K,265
105K82,Passenger Vehicle,1,1,3,0,0,4,0,2,0,1,0,157,82,4.834,K,287
106B45,6000 lbs & Under,1,1,2,0,0,1,0,1,0,1,0,153,45,16.241,B,265
106B45,Passenger Vehicle,2,2,2,0,0,4,0,1,0,1,0,148,45,16.241,B,272
106B75,6000 lbs & Under,1,1,2,4,0,1,5,1,1,1,1,135,75,32.688,B,289
106B75,Passenger Vehicle,2,2,2,0,0,4,0,2,0,1,0,154,75,32.688,B,272
106B75,6001-10000 Lbs,3,3,2,0,0,5,0,2,0,1,0,162,75,32.688,B,298
106C42,6001-10000 Lbs,1,1,4,0,0,5,0,2,0,1,0,167,42,6.056,C,400
106C48,Passenger Vehicle,1,1,3,0,0,6,0,2,0,1,0,148,48,193.873,C,262
106C48,Passenger Vehicle,2,2,3,0,0,4,0,1,0,1,0,158,48,193.873,C,276
106C9,Passenger Vehicle,1,1,2,0,0,5,0,2,0,1,0,156,9,7.446,C,272
106C9,6000 lbs & Under,2,2,4,0,0,5,0,2,0,1,0,162,9,7.446,C,303
106D47,Passenger Vehicle,1,1,2,0,0,5,0,1,0,1,0,153,47,44.403,D,281
106D47,6001-10000 Lbs,2,2,2,0,0,5,0,1,0,1,0,166,47,44.403,D,304
106D82,6000 lbs & Under,1,1,4,0,0,5,0,2,0,1,0,153,82,7.996,D,320
106D82,6000 lbs & Under,2,2,3,0,0,4,0,2,0,1,0,148,82,7.996,D,262
1.06E+14,Passenger Vehicle,1,1,3,0,0,4,0,1,0,1,0,157,12,318.305,E,276
1.06E+14,Passenger Vehicle,2,2,2,0,0,4,0,2,0,1,0,146,12,318.305,E,246
1.06E+45,Passenger Vehicle,1,1,6,0,0,1,0,1,0,1,0,158,43,155.916,E,285
1.06E+45,6000 lbs & Under,2,2,2,0,0,5,0,1,0,1,0,149,43,155.916,E,283
1.06E+51,6000 lbs & Under,1,1,4,0,0,5,0,2,0,1,0,149,49,145.062,E,320
1.06E+08,Passenger Vehicle,2,2,3,0,0,4,0,1,0,1,0,158,6,61.46,E,276
1.06E+76,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,143,74,54.633,E,244
1.06E+81,Passenger Vehicle,1,1,2,0,0,1,0,1,0,1,0,148,79,138.457,E,272
106F72,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,155,72,142.683,F,267
106G2,6001-10000 Lbs,1,1,4,0,0,5,0,1,0,1,0,165,2,336.245,G,323
106G76,6001-10000 Lbs,1,1,2,0,0,5,0,2,0,1,0,157,76,3747.416,G,294
106G76,6000 lbs & Under,2,2,2,0,0,5,0,2,0,1,0,142,76,3747.416,G,272
106H13,6001-10000 Lbs,1,1,4,0,0,5,0,1,0,1,0,161,13,1794.357,H,359
106H13,6000 lbs & Under,2,2,4,0,0,5,0,2,0,1,0,158,13,1794.357,H,305
106H13,Passenger Vehicle,3,3,2,0,0,4,0,2,0,1,0,157,13,1794.357,H,277
106H13,6000 lbs & Under,4,4,4,0,0,5,0,2,0,1,0,149,13,1794.357,H,333
106J5,Passenger Vehicle,2,2,3,0,0,1,0,1,0,1,0,150,5,186.68,J,267
106J50,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,149,50,10.98,J,257
106J50,Passenger Vehicle,2,2,1,0,0,1,0,1,0,1,0,155,50,10.98,J,294
106K11,Passenger Vehicle,1,1,2,0,0,1,0,1,0,1,0,160,11,31.545,K,298
106K41,Passenger Vehicle,1,1,3,0,0,6,0,1,0,1,0,155,41,21.189,K,269
107B12,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,153,12,25.574,B,281
107B75,Passenger Vehicle,1,1,1,0,0,1,0,2,0,1,0,158,75,32.688,B,294
107C48,Passenger Vehicle,1,1,2,0,0,5,0,2,0,1,0,153,48,193.873,C,269
107C48,Passenger Vehicle,2,2,2,0,0,4,0,1,0,1,0,148,48,193.873,C,272
107D13,Passenger Vehicle,1,1,2,0,0,4,0,2,0,1,0,153,13,64.523,D,274
107D13,Passenger Vehicle,2,2,2,0,0,4,0,1,0,1,0,156,13,64.523,D,281
107D50,Passenger Vehicle,1,1,5,0,0,4,0,1,0,1,0,146,50,19.701,D,257
1.07E+13,6000 lbs & Under,1,1,4,0,0,4,0,2,0,1,0,148,11,289.52,E,320
1.07E+43,Passenger Vehicle,2,2,3,0,0,4,0,2,0,1,0,151,41,985.172,E,270
1.07E+10,Passenger Vehicle,1,1,3,0,0,4,0,1,0,1,0,145,8,348.781,E,248
1.07E+10,Passenger Vehicle,2,2,3,0,0,1,0,1,0,1,0,152,8,348.781,E,258
1.07E+10,Passenger Vehicle,3,3,2,0,0,4,0,1,0,1,0,156,8,348.781,E,277
1.07E+11,6000 lbs & Under,1,1,4,0,0,4,0,2,0,1,0,163,9,217.676,E,303
107F43,Passenger Vehicle,1,1,3,0,0,3,0,1,0,1,0,140,43,203.17,F,265
107F47,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,153,47,332.48,F,267
107F6,6000 lbs & Under,1,1,4,0,0,5,0,2,0,1,0,162,6,151.538,F,288
107F74,Passenger Vehicle,1,1,3,0,0,4,0,1,0,1,0,146,74,131.892,F,264
107F74,6001-10000 Lbs,2,2,4,0,0,5,0,2,0,1,0,170,74,131.892,F,353
107F76,Passenger Vehicle,2,2,2,0,0,4,0,2,0,1,0,147,76,310.458,F,262
107F79,Passenger Vehicle,1,1,2,0,0,5,0,1,0,1,0,153,79,257.131,F,262
107F79,Passenger Vehicle,2,2,2,0,0,5,0,1,0,1,0,145,79,257.131,F,246
107G4,6001-10000 Lbs,1,1,4,0,0,5,0,1,0,2,0,170,4,408.756,G,424
107G49,Passenger Vehicle,1,1,2,0,0,5,0,2,0,1,0,150,49,667.203,G,275
107G73,Passenger Vehicle,2,2,2,0,0,4,0,1,0,1,0,153,73,363.696,G,281
107J5,Passenger Vehicle,2,2,2,0,0,4,0,2,0,1,0,156,5,186.68,J,271
107K45,6000 lbs & Under,1,1,2,0,0,1,0,1,0,1,0,147,45,21.147,K,258
107K45,6001-10000 Lbs,2,2,4,0,0,5,0,1,0,1,0,167,45,21.147,K,365
107K72,Passenger Vehicle,1,1,1,0,0,1,0,1,0,1,0,148,72,13.048,K,274
108A79,Passenger Vehicle,1,1,2,0,0,4,0,2,0,1,0,149,79,8.612,A,257
108B42,Passenger Vehicle,3,3,2,0,0,1,0,2,0,1,0,158,42,3.395,B,272
108D12,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,150,12,29.877,D,273
108D12,Passenger Vehicle,2,2,4,0,0,4,0,1,0,1,0,144,12,29.877,D,250
108D48,6000 lbs & Under,1,1,2,0,0,5,0,1,0,1,0,149,48,254.453,D,284
1.08E+07,Passenger Vehicle,2,2,3,0,0,6,0,2,0,1,0,157,5,1671.877,E,279
1.08E+52,6000 lbs & Under,1,1,2,0,0,5,0,1,0,1,0,154,50,56.344,E,262
1.08E+52,Passenger Vehicle,2,2,3,0,0,1,0,1,0,1,0,146,50,56.344,E,278
1.08E+74,Passenger Vehicle,2,2,2,0,0,5,0,1,0,1,0,160,72,63.522,E,292
108F13,6001-10000 Lbs,1,1,4,0,0,5,0,2,0,1,0,170,13,351.161,F,302
108F13,Passenger Vehicle,2,2,3,0,0,4,0,1,0,1,0,145,13,351.161,F,264
108F43,6000 lbs & Under,1,1,4,0,0,4,0,2,0,1,0,162,43,203.17,F,307
108F43,Passenger Vehicle,2,2,2,0,0,4,0,2,0,1,0,152,43,203.17,F,262
108F43,Passenger Vehicle,3,3,2,0,0,4,0,2,0,1,0,147,43,203.17,F,260
108F75,6001-10000 Lbs,1,1,4,0,0,5,0,1,0,1,0,168,75,521.084,F,297
108F8,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,155,8,693.182,F,274
108F8,Passenger Vehicle,2,2,3,0,0,4,0,1,0,1,0,145,8,693.182,F,254
108G11,6000 lbs & Under,1,1,2,0,0,5,0,2,0,1,0,158,11,1246.306,G,287
108G45,Passenger Vehicle,1,1,2,0,0,4,0,2,0,1,0,155,45,2672.568,G,280
108G45,6000 lbs & Under,2,2,2,0,0,1,0,2,0,1,0,152,45,2672.568,G,270
108G45,6000 lbs & Under,3,3,2,0,0,1,0,1,0,1,0,148,45,2672.568,G,237
108G47,6001-10000 Lbs,1,1,4,0,0,5,0,2,0,2,0,174,47,558.928,G,360
108G47,Passenger Vehicle,2,2,2,0,0,4,0,2,0,1,0,155,47,558.928,G,270
108G6,6000 lbs & Under,2,2,4,0,0,4,0,2,0,1,0,168,6,173.697,G,300
108G74,Passenger Vehicle,1,1,3,0,0,4,0,2,0,1,0,157,74,153.278,G,276
108G9,6000 lbs & Under,1,1,2,0,0,5,0,2,0,1,0,158,9,958.07,G,287
108H4,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,158,4,619.691,H,287
