Accident Type,MAIS,PassengerCar_Count,PassengerCar_%,LightTruck_Count,LightTruck_%,HeavyTruck_Count,HeavyTruck_%,AverageOf_PassengerCar_and_HeavyTruck
66,5,32,10.1910828,12,11.88118812,0,0,5.095541401
66,6,2,0.636942675,8,7.920792079,2,25,12.81847134
66,7,20,6.369426752,0,0,0,0,3.184713376
33,0,0,0,0,0,0,0,0
33,1,0,0,0,0,0,0,0
33,2,0,0,0,0,0,0,0
33,3,0,0,0,0,0,0,0
33,4,0,0,0,0,0,0,0
33,5,0,0,0,0,0,0,0
33,6,0,0,0,0,0,0,0
33,7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0
8,2,0,0,0,0,0,0,0
8,3,0,0,0,0,0,0,0
8,4,0,0,0,0,0,0,0
8,5,0,0,0,0,0,0,0
8,6,0,0,0,0,0,0,0
8,7,0,0,0,0,0,0,0
25,0,73,36.13861386,32,22.53521127,15,38.46153846,37.30007616
25,1,80,39.6039604,72,50.70422535,17,43.58974359,41.59685199
25,2,13,6.435643564,19,13.38028169,2,5.128205128,5.781924346
25,3,20,9.900990099,11,7.746478873,3,7.692307692,8.796648896
25,4,2,0.99009901,0,0,0,0,0.495049505
25,5,3,1.485148515,0,0,0,0,0.742574257
25,6,2,0.99009901,0,0,0,0,0.495049505
25,7,9,4.455445545,8,5.633802817,2,5.128205128,4.791825336
67,0,0,0,0,0,0,0,0
67,1,0,0,0,0,0,0,0
67,2,0,0,0,0,0,0,0
67,3,0,0,0,0,0,0,0
67,4,0,0,0,0,0,0,0
67,5,0,0,0,0,0,0,0
67,6,0,0,0,0,0,0,0
67,7,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0
63,1,0,0,0,0,0,0,0
63,2,0,0,0,0,0,0,0
63,3,0,0,0,0,0,0,0
63,4,0,0,0,0,0,0,0
63,5,0,0,0,0,0,0,0
63,6,0,0,0,0,0,0,0
63,7,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0
